Month;Day;T1;P1;CL1;Rainfall1;W1;T2;P2;CL2;Rainfall2;W2;date;Level;DeltaLevel;InitialLevel;DL;TN;SN;KSN
март;1;-1;647;4;с;С 2м/с;-5;650;4;с;С 2м/с;2019-03-01;129;1;128;;-5;40;10
март;2;4;647;1;;С 2м/с;-2;647;4;;С 2м/с;2019-03-02;128;0;;-1;20;10;
март;3;9;643;4;;Ю 4м/с;7;643;4;;Ю 4м/с;2019-03-03;129;1;;1;45;40;
март;4;11;641;2;;ЮЗ 4м/с;4;640;4;д;ЮЗ 4м/с;2019-03-04;131;3;;2;55;20;
март;5;6;644;2;;ЮЗ 5м/с;-3;647;0;;ЮЗ 5м/с;2019-03-05;132;4;;1;30;20;
март;6;12;646;0;;С 3м/с;1;647;0;;С 3м/с;2019-03-06;130;2;;-2;60;0;
март;7;12;646;4;;Ю 3м/с;9;646;2;;Ю 3м/с;2019-03-07;130;2;;0;60;40;
март;8;8;643;4;;Ю 2м/с;5;641;4;д;Ю 2м/с;2019-03-08;130;2;;0;40;40;
март;9;6;643;4;;С 2м/с;3;646;4;;С 2м/с;2019-03-09;130;2;;0;30;40;
март;10;4;647;1;;С 3м/с;2;647;1;;С 3м/с;2019-03-10;129;1;;-1;20;10;
март;11;5;647;4;;С 4м/с;-1;649;4;с;С 4м/с;2019-03-11;129;1;;0;25;40;
март;12;7;650;0;;С 3м/с;-2;651;1;;С 3м/с;2019-03-12;129;1;;0;35;0;
март;13;14;647;0;;С 4м/с;2;647;0;;С 4м/с;2019-03-13;129;1;;0;70;0;
март;14;10;646;4;;Ю 3м/с;4;647;4;д;Ю 3м/с;2019-03-14;128;0;;-1;50;40;
март;15;11;644;2;;Ю 3м/с;4;647;4;д;Ю 3м/с;2019-03-15;130;2;;2;55;20;
март;16;5;647;4;;С 2м/с;1;649;4;д;С 2м/с;2019-03-16;130;2;;0;25;40;
март;17;13;647;0;;Ю 3м/с;6;648;0;;Ю 3м/с;2019-03-17;130;2;;0;65;0;
март;18;16;647;4;;Ю 3м/с;11;648;4;;Ю 3м/с;2019-03-18;130;2;;0;80;40;
март;19;12;646;4;;ЮЗ 5м/с;13;647;4;;ЮЗ 5м/с;2019-03-19;130;2;;0;60;40;
март;20;15;645;4;;Ю 3м/с;7;646;4;д;Ю 3м/с;2019-03-20;130;2;;0;75;40;
март;21;10;649;2;;Ю 6м/с;6;650;4;;Ю 6м/с;2019-03-21;132;4;;2;50;20;
март;22;6;647;4;д;ЮЗ 5м/с;4;647;4;д;ЮЗ 5м/с;2019-03-22;135;7;;3;30;40;
март;23;7;644;4;;Ю 3м/с;11;643;4;;Ю 3м/с;2019-03-23;135;7;;0;35;40;
март;24;6;638;4;д;С 1м/с;0;641;4;с;С 1м/с;2019-03-24;137;9;;2;30;40;
март;25;9;648;1;;Ю 5м/с;0;650;2;;Ю 5м/с;2019-03-25;150;22;;13;45;10;
март;26;9;652;4;;Ю 3м/с;6;653;1;;Ю 3м/с;2019-03-26;145;17;;-5;45;40;
март;27;9;647;4;;Ю 2м/с;10;647;2;;Ю 2м/с;2019-03-27;145;17;;0;45;40;
март;28;14;648;1;;Ю 6м/с;5;648;4;;Ю 6м/с;2019-03-28;140;12;;-5;70;10;
март;29;8;641;4;д;ЮЗ 2м/с;5;643;4;д;ЮЗ 2м/с;2019-03-29;141;13;;1;40;40;
март;30;5;648;4;;С 2м/с;1;651;4;д;С 2м/с;2019-03-30;151;23;;10;25;40;
март;31;10;653;1;;С 3м/с;3;654;0;;С 3м/с;2019-03-31;151;23;;0;50;10;
апрель;1;19;649;0;;Ю 3м/с;7;648;1;;Ю 3м/с;2019-04-01;151;23;;0;95;0;
апрель;2;19;644;1;;ЮЗ 3м/с;13;644;1;;ЮЗ 3м/с;2019-04-02;150;22;;-1;95;10;
апрель;3;5;651;2;;С 5м/с;3;653;4;;С 5м/с;2019-04-03;149;21;;-1;25;20;
