Month;Day;T1;P1;CL1;Rainfall1;W1;T2;P2;CL2;Rainfall2;W2;Level;
март;1;4;635;1;;Ю 6м/с;-1;638;4;;Ю 6м/с;145;02.03.20
март;2;2;638;4;;ЮЗ 5м/с;-3;641;4;с;ЮЗ 5м/с;145;03.03.20
март;3;4;645;0;;Ю 3м/с;-6;648;4;;Ю 3м/с;145;04.03.20
март;4;8;646;0;;Ю 4м/с;2;648;0;;Ю 4м/с;145;05.03.20
март;5;13;647;0;;Ю 3м/с;4;649;1;;Ю 3м/с;145;06.03.20
март;6;9;648;4;;ЮЗ 3м/с;2;648;4;д;ЮЗ 3м/с;145;07.03.20
март;7;2;653;4;;С 2м/с;-1;655;4;;С 2м/с;145;08.03.20
март;8;9;655;1;;СЗ 2м/с;-1;656;0;;СЗ 2м/с;145;09.03.20
март;9;16;653;2;;З 1м/с;3;653;1;;З 1м/с;145;10.03.20
март;10;13;647;4;;Ю 3м/с;7;647;4;;Ю 3м/с;145;11.03.20
март;11;8;647;4;;ЮЗ 5м/с;6;648;1;;ЮЗ 5м/с;145;12.03.20
март;12;12;646;4;;Ю 4м/с;9;646;4;;Ю 4м/с;145;13.03.20
март;13;6;645;4;д;Ю 4м/с;3;646;4;д;Ю 4м/с;147;14.03.20
март;14;8;646;2;;З 1м/с;2;647;4;;З 1м/с;147;15.03.20
март;15;7;644;4;;Ю 2м/с;3;644;2;;Ю 2м/с;147;16.03.20
март;16;7;643;4;д;Ю 3м/с;2;644;1;;Ю 3м/с;146;17.03.20
март;17;7;644;2;;Ю 3м/с;1;648;4;;Ю 3м/с;146;18.03.20
март;18;1;652;4;;С 3м/с;-1;653;4;;С 3м/с;146;19.03.20
март;19;12;652;0;;С 2м/с;1;654;1;;С 2м/с;146;20.03.20
март;20;14;650;0;;С 4м/с;3;653;0;;С 4м/с;146;21.03.20
март;21;10;652;1;;С 4м/с;3;653;4;д;С 4м/с;146;22.03.20
март;22;3;651;1;;С 3м/с;-1;651;0;;С 3м/с;146;23.03.20
март;23;2;644;4;;Ю 4м/с;-5;646;4;с;Ю 4м/с;146;24.03.20
март;24;3;646;1;;Ю 4м/с;-4;647;0;;Ю 4м/с;145;25.03.20
март;25;8;646;0;;С 5м/с;-2;648;1;;С 5м/с;145;26.03.20
март;26;13;645;0;;С 5м/с;1;647;0;;С 5м/с;145;27.03.20
март;27;10;647;2;;С 5м/с;5;650;4;;С 5м/с;145;28.03.20
март;28;4;649;4;;Ю 5м/с;-3;651;4;с;Ю 5м/с;145;29.03.20
март;29;0;650;1;;С 4м/с;-4;651;4;;С 4м/с;145;30.03.20
март;30;6;650;1;;С 5м/с;-2;653;0;;С 5м/с;144;31.03.20
март;31;13;647;0;;С 4м/с;3;647;0;;С 4м/с;144;01.04.20
апрель;1;11;642;4;;С 3м/с;3;644;4;;С 3м/с;144;02.04.20
апрель;2;2;644;4;;С 1м/с;-1;647;4;с;С 1м/с;144;03.04.20
апрель;3;10;647;1;;ЮЗ 4м/с;0;649;4;;ЮЗ 4м/с;144;04.04.20
апрель;4;7;649;4;;С 5м/с;2;651;4;;С 5м/с;144;05.04.20
апрель;5;14;650;0;;Ю 3м/с;0;652;0;;Ю 3м/с;144;06.04.20
апрель;6;15;649;4;;С 3м/с;4;650;1;;С 3м/с;144;07.04.20
апрель;7;18;648;1;;С 4м/с;7;650;0;;С 4м/с;144;08.04.20
апрель;8;18;646;0;;С 5м/с;6;647;1;;С 5м/с;144;09.04.20
апрель;9;18;645;1;;Ю 3м/с;8;647;0;;Ю 3м/с;144;10.04.20
апрель;10;15;646;4;;Ю 4м/с;7;648;2;;Ю 4м/с;145;11.04.20
апрель;11;12;648;4;;Ю 3м/с;4;650;2;;Ю 3м/с;145;12.04.20
апрель;12;9;650;1;;Ю 5м/с;4;650;1;;Ю 5м/с;147;13.05.20
апрель;13;15;650;4;;ЮЗ 5м/с;8;651;0;;ЮЗ 5м/с;;
апрель;14;18;647;4;;Ю 2м/с;10;647;4;;Ю 2м/с;;
апрель;15;16;647;1;;Ю 2м/с;8;648;4;;Ю 2м/с;;
апрель;16;9;647;4;;С 4м/с;5;647;4;д;С 4м/с;;
апрель;17;9;645;4;;С 4м/с;5;647;4;;С 4м/с;;
апрель;18;5;649;4;;С 3м/с;0;650;4;д;С 3м/с;;
апрель;19;7;647;4;;С 4м/с;2;649;4;д;С 4м/с;;
апрель;20;5;649;4;;С 5м/с;2;650;4;;С 5м/с;;
апрель;21;5;648;4;;С 5м/с;3;650;4;;С 5м/с;;
апрель;22;7;650;4;;С 2м/с;5;652;4;;С 2м/с;;
апрель;23;11;655;4;;С 5м/с;5;657;4;;С 5м/с;;
